feature,class
"[-22.156078    47.00812     -8.427265    -0.23290718 -10.536512
   8.15832    -25.291895     3.21104     -8.365664     4.3714643
 -15.831888    -4.895526   -14.678414    -7.6156716  -12.41926
 -10.932021    -8.876332    -3.4791522   -3.391477     2.156244
  -6.546538    -5.9241657   -7.278116    -2.0633473   -3.142274
  -4.422994    -5.832839    -3.587431    -5.421016    -5.1736693
  -3.69138     -5.293524    -1.4037225   -0.9487749   -3.939798
   0.59825504  -1.3285663    3.5128205   -4.2698436    3.0905766 ]",Blender
"[-1.5324593e+02  3.1825771e+01 -2.7999634e+01  6.7991562e+00
 -1.2577360e+01 -6.7640853e+00 -1.7661570e+01 -8.1091747e+00
 -7.3039274e+00 -4.7523861e+00 -1.0990794e+01  4.2449269e+00
 -3.0292516e+00 -1.0481014e+00 -8.8656864e+00 -3.1006200e+00
 -7.9004211e+00 -2.4297028e+00 -5.9423714e+00 -3.5263865e+00
 -8.1333799e+00 -6.3474312e+00 -8.8714924e+00 -5.6513095e+00
 -9.6768847e+00 -4.8712988e+00 -9.9246712e+00 -7.0003638e+00
 -8.2873201e+00 -3.5733857e+00 -4.4192877e+00 -2.1402569e+00
 -5.4397397e+00 -5.8668186e-03 -4.0189138e-01  1.4110346e-01
 -1.4999044e+00  3.3894265e+00 -9.3012345e-01  1.0851389e+00]",Blender
"[-180.67859     101.22197      20.46951      34.0659       -0.98326063
    8.995171     -7.2898655    -3.0370073    -9.184107     -0.8214484
  -11.761793     -0.6425368    -7.6142526    -7.931481     -0.5382316
    3.2071621    -8.131622      1.1453966    -2.6538935    -1.0296707
   -4.919373      0.41852754   -6.7730446    -1.6050978    -7.0909925
   -3.810401     -5.9708967    -2.0587816    -5.996889      0.6070823
   -1.0852294     3.7435825    -1.7952592     1.0034399    -3.4864948
   -2.0851781    -6.0225177    -1.8634189    -1.6860639     1.2787489 ]",Blender
"[-1.3741792e+02  1.1433425e+02 -2.9855288e+01 -1.0172018e+01
 -3.4669281e+01 -2.5801620e+01 -1.3044760e+01 -1.7861464e+01
 -1.6893204e+01 -9.2884712e+00 -1.3684684e+01 -3.8813739e+00
 -1.7198252e+01 -5.4512773e+00 -1.4587138e+01 -3.9384136e+00
 -8.9463692e+00 -4.8521686e+00 -7.9284749e+00  6.7878354e-01
 -1.2663230e-01  3.9600725e+00 -2.6898870e+00  1.9462099e+00
 -2.4846957e+00  9.8272699e-01 -1.8547839e+00 -5.2510627e-02
 -2.8536856e+00  1.5010482e-01 -3.4539056e+00 -1.2731880e-01
 -1.6904649e+00  3.0340162e-01 -1.5895399e+00  9.1074371e-01
 -4.6039476e+00 -9.9400079e-01 -4.9001675e+00 -9.4263178e-01]",Blender
"[-1.0475624e+02  1.5524563e+00 -3.3907127e+01  8.0744314e+00
 -6.9103336e+00  8.1085720e+00 -1.2193168e+01  4.4540877e+00
  7.8363276e+00  3.2275259e+00  3.0379272e+00  1.1426962e+01
 -2.4227142e+00  5.6708531e+00 -1.0380436e+00 -9.1575031e+00
 -4.4629717e+00 -5.0343189e+00 -1.0969281e+01 -7.2576108e+00
 -1.5312260e+01 -3.0559042e+00 -2.6322277e+00 -1.9121433e+00
 -4.4230986e+00  8.6981469e-01 -1.9054292e+00  2.7698162e+00
 -5.4382616e-01  3.3894569e-01 -4.8417335e+00  3.3193083e+00
 -4.6081119e+00 -3.4018345e+00 -1.0041938e-01 -1.9625382e+00
 -6.8844075e+00  2.9182639e+00 -5.7978094e-01  5.0561910e+00]",Blender
"[-82.34592     91.7204     -33.478073    23.054104    -4.993373
  -3.644932   -13.055317    -3.3618455   -5.4120736  -12.00112
   2.4001966  -10.28897      2.2513688  -10.964085    -2.396621
 -10.176702    -3.682821    -3.1403012   -1.5998226    2.375909
  -5.2675905    4.204044    -6.5448823    3.9408624   -9.508504
   1.2869503   -9.666765    -1.5695468   -8.612581    -2.6418889
  -7.6596007   -1.6432377   -4.2614      -1.4514765   -2.2654002
  -3.65075     -0.68786633  -3.5054393   -0.70833874  -2.239002  ]",Blender
"[-201.44595      48.179813    -35.526688     -1.8233404   -21.515244
    1.2602785   -22.423092    -18.01681     -15.810901      0.37961984
  -23.586681     -2.9325259    -8.029676    -12.57914      -9.761551
  -11.319999     -9.220336     -6.260021     -8.548836     -4.2087502
   -8.478812     -5.033217     -4.349027     -4.0834413    -2.3222144
   -2.3930783    -5.541471     -2.5645318    -4.794667     -6.9554067
   -7.388555     -5.6501417    -5.216235     -2.552707     -4.2568836
   -1.7382234    -2.9356453    -1.5051776    -4.458987     -1.7554262 ]",Blender
"[-103.79291      81.997986    -32.43229      13.750365    -10.239962
   -7.021634      2.5140684    -0.8862979   -13.705633      0.5952793
   -9.4704685    -4.969617     -5.3941946    -1.5521646    -6.9342175
    0.12619472   -7.6618714    -2.4922736    -4.2392087    -0.1969076
   -2.8944438     3.5030046    -1.9695802     1.6280198    -2.7120123
    0.46613362   -2.0823247     3.3391087    -1.835948      0.8001458
   -2.1715605     5.059247     -0.7404353     2.5475557    -0.8939939
    3.3813024    -4.516607     -0.23301077   -2.1837485     2.22947   ]",Blender
"[-4.17893295e+01  3.03740978e+00 -1.90765533e+01 -1.57026176e+01
 -1.56191835e+01 -5.81694460e+00 -1.35636644e+01 -1.63485241e+01
 -1.62792530e+01 -2.07505836e+01 -1.78619900e+01 -1.27991934e+01
 -1.46537037e+01 -4.46880674e+00 -1.28340797e+01 -1.93604112e+00
 -7.10800695e+00  5.23616219e+00 -8.00608814e-01  2.40641475e+00
 -4.30098534e+00 -2.57429528e+00 -7.21493530e+00  1.17893529e+00
 -4.42604065e+00 -2.04814816e+00 -4.11079645e+00 -1.41097419e-02
  1.20959163e+00  3.54357219e+00  1.70550942e+00  4.92424154e+00
 -3.31040835e+00 -1.24096684e-01 -4.90945727e-01  3.24375486e+00
  4.56305929e-02  3.85061115e-01 -4.16785145e+00 -1.66370201e+00]",Blender
"[-134.17747      78.85794     -53.249065      4.499173     -6.6859455
  -17.245033     -9.522948    -14.1666565   -10.967128      5.4519496
  -16.374685      1.7739607   -18.671946      2.1121764   -10.633389
   -4.0162497    -9.366909     -5.042889     -0.28154612   -0.40994418
   -9.545627     -2.3542953    -6.572944     -2.672178      0.51774615
   -1.5493909    -1.4508522    -0.49088892   -0.92077285    1.1727625
   -6.1014996     3.0011532    -4.6637483     0.7595755    -4.7736163
   -0.82697207   -2.348324     -2.9854858    -2.5450416    -3.592758  ]",Blender
"[-97.8978      16.871931   -25.729094    -3.1223338  -12.296307
  -0.5323628  -18.726723    -7.79343    -11.962149    -5.150316
  -8.242877    -7.7500095  -14.64332     -4.2876277   -5.1984587
  -2.6991458   -7.857407    -3.4542468   -4.790742    -0.58171064
  -7.133071    -0.62804425  -4.721673    -1.5520949   -5.8602824
  -2.1902208   -5.140582    -1.4311402   -5.3288984   -2.470464
  -6.8311114   -3.7153661   -4.4036455    0.33182886  -1.9720383
  -0.24409199  -1.9002239    1.6403137   -1.7361923    2.2601995 ]",Blender
"[-2.7796509e+02  1.0483764e+02 -2.2890470e+00  6.6841297e+00
 -2.8838649e+00  2.9175208e+00 -1.3409946e+01  1.2684190e+01
 -7.6396785e+00  4.5567408e+00 -3.5685441e+00  8.6303787e+00
 -5.6401401e+00 -7.2378576e-01 -3.5351365e+00  1.2315477e-01
 -2.2535355e+00  4.0337448e+00 -3.3678060e+00 -1.9065279e+00
 -1.7024844e+00  4.4725552e+00 -2.9844549e-01  1.1176368e+00
 -3.6044610e+00 -1.8925017e+00 -1.0028036e+00  5.0481993e-01
 -1.5337275e-01  2.0814764e+00 -5.1785049e+00  1.1803155e-01
 -4.1389307e-01 -9.1252494e-01 -2.4261053e+00 -2.2458367e-01
 -1.4992294e+00 -1.0550867e+00  1.5611179e+00  4.9480214e+00]",Blender
"[-54.0291      13.19224    -15.459684    -6.6587543  -12.255147
  -4.3611536  -22.400532     5.208488   -22.98669     -2.8770678
 -19.21436      1.8277986  -17.48814     -4.3453307  -15.792954
   0.92512447  -2.0585957    1.5556387   -5.423437    -0.8460303
  -2.9200091    1.0209665   -3.718424     1.9307126   -3.5204246
   1.9146658   -4.3785744   -1.6029707   -6.998234    -1.9365722
  -3.2650762   -1.3978918   -4.3650384   -0.62479407  -8.351177
  -1.514177    -4.634723    -0.80335945  -2.4128475   -1.9548337 ]",Blender
"[ 4.6709423e+01  2.0090046e+01 -6.3158684e+01  1.5999845e+01
 -7.6135159e+00 -1.1782281e+01 -3.2279739e+01  1.3584887e+00
 -4.4990748e-01  2.8873177e+00 -1.4846627e+01  3.7285156e+00
 -2.0601304e+00 -6.5001397e+00 -8.1060848e+00 -4.0142584e+00
 -5.5045123e+00 -3.5867459e-01 -5.3484573e+00  1.9330032e+00
 -3.6938007e+00 -1.3790743e+00 -1.0508696e+00  3.7817032e+00
  5.5701494e+00  7.4211907e+00  5.7761693e+00  6.9660497e+00
 -4.6622895e-02  2.9695199e+00 -5.1219314e-01  3.9473772e+00
  2.3015009e-01  8.2934600e-01 -2.8970068e+00  3.0972841e-01
 -3.8078642e+00 -1.0741149e+00 -6.1320066e+00 -8.2950878e-01]",Blender
"[-2.20938370e+02  1.06817665e+02  3.36323285e+00  1.70468578e+01
 -4.07785273e+00  2.73270082e+00 -5.97813654e+00 -5.57225657e+00
 -1.36635599e+01  3.19851398e+00 -9.69387054e+00  1.84266436e+00
 -4.96760702e+00 -7.62139320e+00 -2.91316080e+00 -3.49756628e-01
 -1.14205885e+01 -1.21621799e+00 -5.85529423e+00 -1.74971676e+00
 -6.58672380e+00 -1.18074906e+00 -6.75820780e+00 -2.78231668e+00
 -3.70332932e+00 -3.18540978e+00 -3.64750075e+00 -1.01100922e+00
 -5.75730944e+00 -1.84171394e-01 -4.19429970e+00  4.24638867e-01
 -3.72502398e+00 -2.16324043e+00 -4.54025936e+00 -2.08540391e-02
 -2.20427942e+00  8.49086940e-01 -1.62184286e+00  4.21380699e-01]",Blender
"[-1.9112848e+02  7.0128304e+01 -2.4662472e+01  8.6936407e+00
 -4.1464410e+00 -1.0474381e+01 -2.3401346e+01 -1.3265082e+01
 -1.8845116e+01 -1.1912077e+01 -1.6601593e+01 -1.0432728e+01
 -9.8768024e+00 -9.1994343e+00 -6.2042193e+00  1.4383975e-02
 -1.2193382e+01 -2.4219983e+00 -4.4814706e+00 -5.6470952e+00
 -8.8381577e+00 -3.1782136e+00 -4.6985788e+00 -3.4320745e+00
 -5.7351737e+00  8.8923477e-02 -3.8597629e+00 -2.6215396e+00
 -3.5972083e+00 -1.2607429e+00 -2.5007141e+00  8.5708231e-01
 -3.1604779e+00  8.0553460e-01 -3.2254603e+00  1.1482105e+00
 -2.1338496e+00 -1.0325818e+00 -3.2312000e+00  4.3455565e-01]",Blender
"[-191.42749      66.6954      -15.786137      2.1191742   -18.236609
    1.6700791   -22.470991    -11.430241    -12.940439     -6.240702
  -12.726889     -2.3568      -13.037164     -7.1458216    -3.635577
   -1.6224102    -4.29869       1.0250009     0.8671797     5.611683
   -0.634224      8.41644       4.998396     -0.24876763   -2.6259477
   -0.81966877   -2.6481183     1.9301869    -1.7021129    -0.51540595
   -0.7216169     1.4298618    -1.8206654     0.79072326   -3.5012949
    0.23658977   -1.39476       1.9561856    -1.8317155     4.795365  ]",Blender
"[-3.6869137e+01  7.9231377e+01 -3.3814312e+01  6.9969230e+00
  2.2306855e+00 -5.3918815e+00 -2.2655903e+01 -1.3549366e+00
 -1.1642766e+01  4.3574705e+00 -1.4262102e+01 -5.9414344e+00
 -8.7841167e+00 -5.8481717e+00 -6.3149538e+00 -8.0506510e-01
 -8.2007456e+00 -1.0192233e+01 -5.3525882e+00 -3.0055094e+00
 -5.0238976e+00 -1.7545204e+00 -1.0462211e+01  1.1101035e+00
 -6.4951172e+00 -4.7416857e-01 -6.1268749e+00  2.5256860e+00
 -4.4120407e+00 -1.7355640e-01 -2.4685960e+00  3.6952707e-01
 -4.1256309e+00 -5.3718194e-02 -3.6367095e+00 -1.4765791e+00
 -6.9006228e+00 -1.2345304e+00 -3.2135885e+00  9.4061142e-01]",Blender
"[-67.80434     63.90451    -36.16819     11.656534   -24.317484
  -8.640371   -23.348982   -11.744161   -19.621677   -11.256485
 -17.152184   -10.067555   -11.3453      -5.304918    -7.102867
  -5.448813    -2.6903968    0.23466149  -5.472084    -2.5305836
  -9.34618     -4.0018234   -7.2248044    0.5607461   -3.861531
   0.40772837  -3.9664896    2.6869595   -1.3814157    4.5501103
   3.5039113    5.098189     0.35934064   2.1786196    0.40308866
  -0.14078148  -4.0575843   -0.09680797  -3.0749664   -0.21726163]",Blender
"[-2.2760478e+02  9.4675987e+01 -1.7469896e+01  1.2233563e+01
 -2.6911299e+01 -4.1966095e+00  1.1135170e+00 -2.2782409e+00
 -7.2395773e+00  5.8039141e+00  4.7494097e+00  1.3759964e+00
 -4.7595401e+00 -1.4254391e+00 -1.8253740e+01 -7.2484713e+00
 -8.8845291e+00 -3.4057524e+00 -1.6408603e+00 -2.0612185e+00
 -6.9385185e+00 -3.6249382e+00 -9.0058918e+00 -4.5700946e+00
 -1.0439041e+01 -1.6334472e-02 -6.7436385e+00 -4.0510874e+00
 -1.1074910e+01 -1.7653333e+00 -8.7414808e+00 -5.1740689e+00
 -8.4268894e+00 -4.1803088e+00 -3.9153132e+00 -5.8316846e+00
 -7.1294312e+00 -1.6130658e+00 -3.7162299e+00 -8.0493426e-01]",Blender
"[-44.91467     62.73512    -21.062382     5.213484   -17.551865
 -14.956884   -24.880922   -20.2508     -25.98557     -6.275505
 -25.860825   -12.334893   -19.725674   -20.44055    -15.7268095
  -6.441399   -17.30208     -6.8819027   -5.44848     -2.590515
  -4.452088     3.2210774   -5.3793335   -2.3483832   -6.1769247
  -6.318916    -5.1606383   -3.3335068   -6.26074     -5.0789647
 -10.968485    -1.5841563   -6.195556    -3.084834    -6.251842
  -0.49572328  -3.880143     0.14589958  -2.7314262    4.251967  ]",Blender
"[-92.83277     94.0425     -25.995451   -12.398478   -13.726995
 -16.722971   -28.700426   -22.650112   -15.178601   -11.229367
 -24.1899     -13.615591   -13.789148   -10.766896    -8.54354
  -7.831482    -5.0412717   -1.967775    -7.32231      1.0626025
  -0.640925     2.1333945   -0.72459537   0.39151335  -2.9835808
  -1.4088147   -6.6366315    1.8571166   -0.518395     1.7738211
  -1.2178757    4.7551885    1.1096302    1.3029243   -2.9382396
   0.8523575   -3.4377518    0.48167416  -3.4818242    1.6947308 ]",Blender
"[-1.51046127e+02  1.04429398e+02 -3.97837830e+00  1.49188595e+01
  3.55943608e+00  7.39550304e+00 -1.12365007e+01  3.26228809e+00
 -8.10269547e+00  2.41904044e+00 -1.81302822e+00  2.84440494e+00
 -4.10899544e+00  2.35449672e+00  2.00221658e-01  2.04299426e+00
 -3.02976012e+00  3.27945709e+00 -1.52439296e+00  4.07628870e+00
 -1.88032436e+00  2.52638125e+00  2.87270769e-02  2.74343562e+00
 -1.78001225e+00  3.20388508e+00 -1.05448079e+00  3.98905897e+00
  2.96824574e-01  1.71557260e+00 -3.45270181e+00 -6.76788032e-01
 -3.76371956e+00  3.50800045e-02 -1.93599439e+00  1.48285675e+00
 -8.47225010e-01  2.76047587e+00 -5.86733341e-01  1.20315146e+00]",Blender
"[-174.3633       86.92452     -27.050894     -3.2128983   -11.684511
   11.307866    -12.396594      1.7695632    -4.6792955     4.297616
  -18.674511     -3.8491025    -8.22237       0.80540913    4.1089563
    4.681213     -5.01972       2.1230845    -8.779662      1.955929
   -1.370378      3.0697656    -3.5158415     1.746328     -8.084835
   -0.33961782   -3.1615117     2.7964623    -1.1815019     4.82802
    0.43475825   -0.44662187   -3.1911345     2.4774818    -0.40438405
    2.6366665    -3.2793083     0.5013301    -2.7618964     0.4650798 ]",Blender
"[-2.01529144e+02  1.04310745e+02 -4.13350143e+01  1.76992168e+01
 -1.62502384e+01  4.79939365e+00  4.26158381e+00  6.48006558e-01
 -4.61939240e+00 -4.58172560e+00 -2.37801743e+00 -1.55862406e-01
  2.71798587e+00  8.19446182e+00  3.19504523e+00  8.03848839e+00
  4.22200352e-01  1.04166627e+00  4.29098940e+00  2.80622363e+00
  8.24263990e-01  4.59148502e+00 -2.19653797e+00  2.94665337e+00
  2.20711899e+00  3.19690037e+00  3.99306566e-02  3.26385427e+00
  1.00575316e+00  1.74005508e+00  2.65702295e+00  4.12700129e+00
  9.63729799e-01  4.28554869e+00  2.07987332e+00  3.96570611e+00
  4.14042282e+00  4.48774052e+00  3.49543262e+00  4.84990120e+00]",Blender
"[-1.5273090e+02  7.4249023e+01 -3.6869003e+01  1.1878003e+01
 -9.1475849e+00 -1.0033792e+01 -8.5549908e+00 -1.0142506e+01
 -1.8922941e+01 -5.5455308e+00 -9.1994009e+00 -6.7451291e+00
 -7.4998198e+00  6.2215471e-01 -3.8021133e+00  8.1287754e-01
 -2.4985764e+00  4.3824143e+00 -3.7093651e+00 -1.7981212e-01
 -3.3753653e+00  4.4290977e+00  1.4984895e+00  1.0454019e+00
 -5.1756678e-03  2.0049093e+00 -4.2467918e+00  4.5261345e+00
  6.6604060e-01 -1.4804776e+00 -3.7133257e+00  2.3311908e+00
  1.2693976e+00  5.7391653e+00  1.8009894e+00  2.8432705e+00
 -2.5807230e+00 -6.2010711e-01 -1.8575304e+00  3.9406002e+00]",Blender
"[-49.104836    75.855415   -30.619125    -1.5928636  -17.197002
  -4.9775095  -23.197596   -12.928953   -22.469538    -7.244062
 -15.488963    -6.087541   -13.909338    -4.6715994   -6.140742
  -2.4272923   -8.398088    -2.2901077   -8.889239    -3.6457417
  -9.498917    -0.99408674  -2.4383419   -0.289425    -4.3346977
  -0.4648238   -2.7711089    1.3972083   -1.3926333   -0.34317702
  -0.71575254  -0.20620269  -2.8885422   -1.346473    -2.742777
   1.1228297   -0.66302496   1.8838584   -1.2657735    0.5278135 ]",Blender
"[-2.23907333e+02  1.08939835e+02 -2.11658840e+01  8.65824699e+00
 -1.42396545e+01 -8.25900173e+00 -1.70531158e+01 -3.67166376e+00
 -1.33203230e+01 -6.25788307e+00 -1.03120222e+01 -6.65157020e-01
 -5.21904564e+00 -2.28191042e+00 -4.67420244e+00  1.41623402e+00
 -3.62625694e+00 -5.10340035e-01 -4.63348532e+00 -3.93500185e+00
 -5.46372557e+00 -2.09513593e+00 -3.67553282e+00  5.29799879e-01
 -2.79274583e+00 -9.50303897e-02 -1.95955539e+00  1.12491620e+00
 -1.31824756e+00  1.00118363e+00 -7.85470366e-01 -3.26040894e-01
 -2.23587704e+00  5.18234432e-01 -1.65667224e+00  9.78775084e-01
 -3.26772816e-02  1.95474565e+00 -1.60363212e-01  1.17309511e+00]",Blender
"[-2.5937552e+02  9.6644051e+01 -2.4527866e+01  9.2350826e+00
 -8.3065414e+00  2.3839579e+00 -7.9366889e+00  8.3532429e-01
 -1.9384229e+00 -3.7034087e+00 -7.0981297e+00 -7.3525965e-01
 -2.3528705e+00  1.9258473e+00 -5.2643251e-01  4.3782932e-01
 -2.5274174e+00  1.1515239e+00 -4.6078949e+00  1.2411007e-01
 -4.8728371e+00 -2.6432703e+00 -4.2878227e+00 -3.5502977e+00
 -4.9833417e+00 -9.9861443e-01 -1.9724296e+00  1.1664016e+00
 -1.6529357e+00  4.8749891e-01 -1.8615420e-01  1.8101658e+00
  1.0256275e+00  2.3008435e+00 -4.9359018e-01  5.4511219e-01
 -1.9161152e+00 -9.2139816e-01 -8.1337696e-01  4.8811656e-01]",Blender
"[ 40.01208     48.0249     -19.10172     29.61417     -7.9905596
  -3.963265    -5.5719633   -6.0240536  -15.663151    -1.461189
  -8.561326    -5.021907    -7.1729093   -2.7120056   -5.5132155
   3.969851    -2.3585548    1.8150626   -3.9475493    1.2912899
  -5.698645    -3.0832539   -3.3563201   -1.8977      -9.597339
  -5.4369173   -6.464311    -5.7609267   -6.236214    -1.5116125
  -3.2307186    1.0667384   -0.9457123   -0.4315871   -2.9790277
  -0.64010495  -2.7822096    0.8772244   -2.9744184   -1.734156  ]",Blender
